$ next dev -p 3000 2>&1 | tee dev.log
▲ Next.js 16.1.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://21.0.10.233:3000
- Environments: .env

✓ Starting...
Attention: Next.js now collects completely anonymous telemetry regarding usage.
This information is used to shape Next.js' roadmap and prioritize features.
You can learn more, including how to opt-out if you'd not like to participate in this anonymous program, by visiting the following URL:
https://nextjs.org/telemetry

✓ Ready in 967ms
 GET / 200 in 3.0s (compile: 2.8s, render: 189ms)
 GET / 200 in 40ms (compile: 4ms, render: 36ms)
 GET / 200 in 37ms (compile: 3ms, render: 34ms)
 GET / 200 in 34ms (compile: 3ms, render: 31ms)
 GET / 200 in 34ms (compile: 3ms, render: 32ms)
 GET / 200 in 34ms (compile: 3ms, render: 31ms)
 GET / 200 in 41ms (compile: 2ms, render: 39ms)
 GET / 200 in 24ms (compile: 2ms, render: 22ms)
 GET / 200 in 30ms (compile: 2ms, render: 28ms)
 GET /manifest.json 200 in 281ms (compile: 269ms, render: 12ms)
 GET /manifest.json 200 in 6ms (compile: 2ms, render: 3ms)
 GET / 200 in 36ms (compile: 3ms, render: 34ms)
 GET /manifest.json 200 in 5ms (compile: 1980µs, render: 3ms)
 GET /manifest.json 200 in 6ms (compile: 1983µs, render: 4ms)
 GET / 200 in 63ms (compile: 2ms, render: 61ms)
 GET /manifest.json 200 in 4ms (compile: 1644µs, render: 3ms)
 GET /manifest.json 200 in 4ms (compile: 1372µs, render: 2ms)
 GET / 200 in 34ms (compile: 3ms, render: 31ms)
 GET /manifest.json 200 in 6ms (compile: 2ms, render: 4ms)
 GET /manifest.json 200 in 6ms (compile: 2ms, render: 4ms)
 GET / 200 in 24ms (compile: 1695µs, render: 22ms)
 GET /manifest.json 200 in 4ms (compile: 1485µs, render: 3ms)
 GET /manifest.json 200 in 4ms (compile: 1566µs, render: 3ms)
 GET / 200 in 24ms (compile: 1669µs, render: 22ms)
 GET /manifest.json 200 in 4ms (compile: 1436µs, render: 2ms)
 GET /manifest.json 200 in 5ms (compile: 2ms, render: 3ms)
 GET / 200 in 36ms (compile: 2ms, render: 34ms)
 GET /manifest.json 200 in 4ms (compile: 1515µs, render: 2ms)
 GET /manifest.json 200 in 4ms (compile: 1380µs, render: 2ms)
 GET / 200 in 31ms (compile: 3ms, render: 29ms)
 GET /manifest.json 200 in 4ms (compile: 1671µs, render: 2ms)
 GET /manifest.json 200 in 5ms (compile: 1549µs, render: 3ms)
 GET / 200 in 27ms (compile: 2ms, render: 24ms)
 GET /manifest.json 200 in 4ms (compile: 1708µs, render: 2ms)
 GET /manifest.json 200 in 4ms (compile: 1506µs, render: 2ms)
 GET / 200 in 25ms (compile: 1649µs, render: 23ms)
 GET /manifest.json 200 in 4ms (compile: 1490µs, render: 2ms)
 GET /manifest.json 200 in 4ms (compile: 1571µs, render: 2ms)
 GET / 200 in 27ms (compile: 1608µs, render: 26ms)
 GET /manifest.json 200 in 4ms (compile: 1599µs, render: 2ms)
 GET /manifest.json 200 in 4ms (compile: 1542µs, render: 3ms)
 GET / 200 in 28ms (compile: 2ms, render: 26ms)
 GET /manifest.json 200 in 3ms (compile: 1349µs, render: 2ms)
 GET /manifest.json 200 in 3ms (compile: 1403µs, render: 1861µs)
 GET / 200 in 25ms (compile: 2ms, render: 23ms)
